nome,descricao,area
Avantsoft,Desenvolver software não precisa ser caro. Criamos um programa de treinamento de novos desenvolvedores que gera times ágeis e aptos a desenvolver ou manter sistemas com mínima supervisão de sêniors.,Serviços profissionais
Conexa,Sistema financeiro completo para empresas de serviços recorrentes Somos especialistas em empresas de serviços que faturam seus clientes de forma recorrente.,Tecnologia da Informação
Digital Paper Ltda,"Somos uma empresa de grstão documental, voltada para a digitalização de docuemntos e transformação digital.",Governo e Poder Público
Just Travel Viagens e Turismo Ltda.,"A Just Travel é uma plataforma de tecnologia voltado ao pequeno e médio agente do turismo (agências e produtores de conteúdo). Através de nosso produto, nossos clientes podem criar um ecommerce de produtos turísticos com sua marca e estratégia comercial, tendo acesso a um portfolio abrangente de produtos (atividades, hotéis, seguros, casas e carros), solução de pagamentos (cartão, boleto e pix), suporte de marketing e garantia antifraude.",Hotelaria e Turismo
Mais Solidário Educação e ESG,"Somos uma Startup Baiana de Inclusão Educacional e ESG um Market Place e Plataforma White Label de cursos EAD que conecta estudantes de baixa renda as vagas ociosas do ensino Superior e Técnica com + de 300 Mil Bolsas de Estudos para todo Brasil. Diferencial Competitivo: Nosso diferencial está pautado em dois Pilares 1 Social e a Sustentabilidade Financeira Social; Reconhecimento de Impacto Nacional e Internacional / 2 Operamos com Sistema de remuneração B2B RR, B2C MarketPlace (por R$ 1 Mensalidade), B2G ESG (Projeto Anjos da Periferia)35% recorrência). é oferecermos as melhores oportunidades em Inclusão Educacional com um programa de Bolsas de Estudos em que ofertamos a preços acessíveis mais de 300 mil Vagas para cursos de Graduação, Pós Graduação e Cursos Técnico parceria com 10 grandes grupos Educacionais a nível Brasil que nos posiciona em + de 1100 municípios nos quais são disponibilizados as vagas no nosso Market Place de forma, Rápida,. Simples e sem Uso da nota do Enem com benefício de 80% descontas as mensalidades / Outro diferencial é que ofertamos alguns produtos Educacionais voltados na qualificação dos colaboradores e seus Parceiros disponibilizaremos nossa Plataforma White Label de cursos EAD para a capacitação dos seus Colaboradores e ou beneficiados. Gerando uma Receita Recorrente 35% Por cada mensalidade paga Ticket Médio por Aluno Técnico R$ 2K Superior Tecnólogo / LTV 12 meses / ROI 35% Liquido/ Cursos Superior (EAD Tecnólogos) R$ 3.3 KI LTV 24 meses / ROI 35% Liquido",Educação
Mobapps,"Há mais de 5 anos no mercado e mais de 200 aplicativos lançados no Brasil e no mundo, a MobApps oferece aplicativos e plataformas customizados, com tecnologia de ponta, para empresas de mobilidade urbana. Nossos sistemas facilitam a vida dos negócios dos clientes, focados nos segmentos de Transporte de Passageiros e de Delivery. Oferecemos aplicativos white-label, customizados à imagem de cada cliente, além de insights e constantes atualizações.",Automotivo e Mobilidade
OptiU,"A OptiU é especialista em Otimização de Ambientes Digitais que gera inteligência a partir de serviços estratégicos para o público B2B. Consideramos a importância de unificar a experiência do usuário, os valores do produto, a análise de dados e a otimização da taxa de conversão, através de uma metodologia autoral com visão 360.",Gestão e Consultoria
POS CONTROLE,Nós trouxemos o PDV tradicional para dentro dos terminais de pagamento de cartão. Eliminamos a necessidade de equipamentos antiquados nos PDVs das lojas físicas. Agregando mobilidade e agilidade às operações de venda no PDV.,Varejo e Atacado
QRPoint,"Somos uma HRTech focado em soluções para o Departamento de pessoal de pequenas e médias empresas, com nosso software de controle de ponto digital o RH das empresas podem focar mais em pessoas e menos em processos",Serviços profissionais
Reale Tech - Soluções em TI,"A Reale Tech - Soluções em TI, especializada em Suporte TI e desenvolvimento de software, traz para Web Summit Rio o Sistema EBD, uma inovadora aplicação para gestão de escolas bíblicas dominicais. Este aplicativo otimiza a administração, o ensino e o acompanhamento de alunos, transformando a experiência educacional em ambientes religiosos. Conheça como podemos revolucionar sua escola bíblica com nossa tecnologia avançada.",Tecnologia da Informação
SIMPLES VAREJO,"Somos uma Plataforma de Gestão comercial que ajuda PMEs a organizar os seus processos administrativos, financeiros e fiscais fazendo eles poupar tempo e se dedicar ao que realmente importa.",Varejo e Atacado
SOLOS,"Através de experiências sustentáveis e sistemas inteligentes, facilitamos o descarte correto das embalagens pós-consumo. Operamos no modo B2B vendendo soluções para grandes marcas como AMBEV, Braskem e Heineken em cidades por todo Brasil. Seja através da operação de logística reversa em grandes eventos, como o Carnaval de Salvador, iniciativas perenes de coleta seletiva porta a porta, como o Re-ciclo Fortaleza ou ativações que promovem vivências sustentáveis para o público familiar, como o Brask",Impacto socioambiental
STECNOLOGIA E REPRESENTACOES,"Fornecemos serviços de software de automação comercial para diversos ramos do varejo, atacado e serviços.",Alimentos e Bebidas
Solvum,A Solvum é uma holding de soluções voltada para o desenvolvimento humano com destaques nos setores de company building e software house.,Tecnologia da Informação
Tem Vagas,"A plataforma temvagas.net é especializada em recrutamento e seleção de pessoal. Nosso Funil de Seleção disponibiliza os candidatos compatíveis com a vaga separado dos demais candidatos. Os candidatos selecionados para entrevista recebem o convite por email e outros canais disponibilizados pelos mesmos. Na versão que lançaremos em breve será liberado para as empresas o acesso ao nosso banco de dados, assim como permitirá que os candidatos divulguem seus currículos.",Serviços profissionais
Unidade de Ensino Maria Milza - UNIMAM,"A UNIMAM é uma instituição de ensino superior que, situada no Recôncavo Baiano busca, cotidianamente, produzir e disseminar conhecimento que sirva para a vida. Ancorada no tripé ensino-pesquisa-extensão, preconizado pelos órgãos oficiais da educação superior, desenvolve ações e atividades, que ao longo de sua existência vêm representando avanços significativos para o seu crescimento e consolidação como centro produtor de conhecimento. São 20 cursos de graduação, com pós-graduações e mestrado.",Educação
ATILA LIMA FINANÇAS,"Empresa de soluções educativas para educação financeira. Treinamentos, curso, palestras que utiliza linguagem simples e acolhedora com foco em mulheres pretas, pardas e indígenas em vulnerabilidade social.",Educação
